FUNCTION;THREADS;ITEMS;OPS;COMMITS;ABORTS;TIME (s);PROB;;;FUNCTION;THREADS;ITEMS;OPS;COMMITS;ABORTS;TIME (s);PROB;;;FUNCTION;THREADS;ITEMS;OPS;COMMITS;ABORTS;TIME (s);PROB
SEQUENTIAL;2;20;2;4000;2;0.078701;0.4;;;MIXED;2;20;2;4000;51;0.083284;0.4;;;RANDOM;2;20;2;4000;10;0.079642;0.4
SEQUENTIAL;2;20;2;4000;6;0.081955;0.4;;;MIXED;2;20;2;4000;39;0.081069;0.4;;;RANDOM;2;20;2;4000;19;0.085014;0.4
SEQUENTIAL;2;20;2;4000;11;0.078843;0.4;;;MIXED;2;20;2;4000;50;0.076303;0.4;;;RANDOM;2;20;2;4000;7;0.077931;0.4
SEQUENTIAL;2;20;2;4000;3;0.069470;0.4;;;MIXED;2;20;2;4000;59;0.080967;0.4;;;RANDOM;2;20;2;4000;26;0.074435;0.4
SEQUENTIAL;2;20;2;4000;11;0.077502;0.2;;;MIXED;2;20;2;4000;160;0.082669;0.2;;;RANDOM;2;20;2;4000;108;0.081107;0.2
SEQUENTIAL;2;20;2;4000;6;0.076676;0.2;;;MIXED;2;20;2;4000;65;0.082498;0.2;;;RANDOM;2;20;2;4000;10;0.075909;0.2
SEQUENTIAL;2;20;2;4000;70;0.077360;0.2;;;MIXED;2;20;2;4000;63;0.079541;0.2;;;RANDOM;2;20;2;4000;83;0.080132;0.2
SEQUENTIAL;2;20;2;4000;21;0.079482;0.2;;;MIXED;2;20;2;4000;51;0.090024;0.2;;;RANDOM;2;20;2;4000;18;0.077561;0.2
SEQUENTIAL;2;20;2;4000;9;0.076832;0.2;;;MIXED;2;20;2;4000;17;0.079021;0.2;;;RANDOM;2;20;2;4000;67;0.084195;0.2
SEQUENTIAL;2;20;2;4000;12;0.082315;0.2;;;MIXED;2;20;2;4000;69;0.081416;0.2;;;RANDOM;2;20;2;4000;5;0.081575;0.2
